ïagno;rbd;dgv_rbd;nom_rbd;let_rbd;num_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2004;7321;0;"ESCUELA PARTICULAR N.125 CAICAIEN""""";[NULL];125;10505;LAGO RANCO;3;1;110;160;;;;;;;
2004;7322;9;"ESCUELA PARTICULAR N.116 MAYAY""""";[NULL];116;10505;LAGO RANCO;3;1;110;;;;;;;;
2004;7323;7;"ESCUELA DE ADULTOS LUIS BERTIN SCHWARZE""";E;421;10301;OSORNO;2;0;160;;;;;;;;
2004;7325;3;"LICEO CARMELA CARVAJAL DE PRAT""""";A;18;10301;OSORNO;2;0;310;361;461;;;;;;
2004;7326;1;LICEO INDUSTRIAL OSORNO;B;1;10301;OSORNO;2;0;510;;;;;;;;
2004;7328;8;"LICEO RAHUE""""";B;17;10301;OSORNO;2;0;310;410;610;;;;;;
2004;7329;6;"LICEO ELEUTERIO RAMIREZ""""";B;19;10301;OSORNO;2;0;310;;;;;;;;
2004;7331;8;LICEO COMERCIAL OSORNO;B;20;10301;OSORNO;2;0;410;;;;;;;;
2004;7332;6;"ESCUELA JUAN SANCHEZ ASCENCIO""""";D;362;10301;OSORNO;2;0;10;110;;;;;;;
2004;7333;4;"ESCUELA ESPAÃA""""";D;363;10301;OSORNO;2;0;10;110;;;;;;;
2004;7334;2;"ESCUELA EFRAIN CAMPANA SILVA""""";D;364;10301;OSORNO;2;0;10;110;;;;;;;
2004;7335;0;"ESCUELA SUIZA""""";D;365;10301;OSORNO;2;0;10;110;;;;;;;
2004;7336;9;"ESCUELA FUNDACION PAUL HARRIS""""";D;397;10301;OSORNO;2;0;10;110;160;310;361;;;;
2004;7337;7;"ESCUELA GARCIA HURTADO DE MENDOZA""""";D;405;10301;OSORNO;2;0;10;110;;;;;;;
2004;7338;5;"ESCUELA LEONILA FOLCH LOPEZ""""";D;434;10301;OSORNO;2;0;10;110;;;;;;;
2004;7339;3;"ESCUELA N. 88 CANADA""""";D;435;10301;OSORNO;2;0;10;110;;;;;;;
2004;7340;7;"ESCUELA CLAUDIO ARRAU""""";E;398;10301;OSORNO;2;0;10;110;;;;;;;
2004;7341;5;"ESCUELA MONSEÃOR FRACISCO VALDES SUBERC""";E;401;10301;OSORNO;2;0;10;110;160;361;;;;;
2004;7342;3;"ESCUELA DOMINGO SANTA MARIA""""";E;402;10301;OSORNO;2;0;10;110;;;;;;;
2004;7343;1;"ESCUELA MEXICO DE MICHOACAN""""";E;422;10301;OSORNO;2;0;10;110;;;;;;;
2004;7345;8;"ESCUELA MODELO N.536""""";E;536;10301;OSORNO;2;0;10;110;;;;;;;
2004;7346;6;"ESCUELA N. 46 ITALIA""""";E;1178;10301;OSORNO;2;0;10;110;;;;;;;
2004;7347;4;"ESCUELA LAGO RUPANCO""""";F;368;10301;OSORNO;2;0;10;110;361;;;;;;
2004;7348;2;"ESCUELA CARLOS CONDELL""""";F;385;10301;OSORNO;2;0;10;110;361;;;;;;
2004;7349;0;"ESCUELA JOSE IGNACIO ZENTENO""""";F;389;10301;OSORNO;2;0;10;110;;;;;;;
